Problem			LBNEH				FDPNEH				GRASP basic version		GRASP path relinking			
			1	2	3	4	1	2	3	4	1	2	3	4	1	2	3	4
Size6_Problem6		20020	24020	41159	40699	18308	24020	44206	40755	13443	19164	34039	36181	13191	19138	33647	36188
Size6_Problem7		16783	14857	43406	46790	17654	15997	44069	49191	11896	10918	38030	45098	11877	10966	37646	45125
Size6_Problem8		24104	25645	44179	40904	22623	26251	44671	42808	14828	21494	40060	37804	14320	21348	40401	38216
Size6_Problem9		18783	15332	41490	22344	17784	15725	43053	22046	13177	11244	38446	17318	13285	11199	37799	17147
Size6_Problem10		22646	12582	40656	44353	22287	11016	39070	45284	15225	7716	35841	41244	15721	7740	35629	41430
Size7_Problem1		35706	4484	60629	49589	18788	0	50158	50419	6602	0	34830	33594	6466	0	33627	34977
Size7_Problem2		34700	9190	83201	39350	22561	1353	66218	32834	8731	0	47824	17160	8040	0	47494	16616
Size7_Problem3		34443	1785	79131	24396	17708	0	68449	26130	7316	0	50922	14923	7216	0	49736	14921
Size7_Problem4		27475	12589	60384	53754	17269	7693	51380	54091	5943	914	38301	40264	6361	980	37584	39024
Size7_Problem5		32028	6028	68610	43111	17060	697	58469	44865	6568	0	41021	24751	6649	0	40646	24957
Size7_Problem6		35062	6062	67292	49815	21806	150	59971	54923	8424	0	43578	39406	7728	0	40800	39099
Size7_Problem7		30652	13929	69385	38469	25342	4353	58001	43371	9852	0	43593	23449	10249	0	42251	21985
Size7_Problem8		41292	7819	76690	48355	26746	1504	56574	43975	14290	0	45732	26677	13424	0	45372	26358
Size7_Problem9		27502	3582	74876	34500	15023	0	63202	41773	5354	0	49100	23283	5603	0	46156	24766
Size7_Problem10		36100	10669	77585	71104	19836	2157	70863	73104	9862	0	50171	54530	10013	0	50361	55821
Size8_Problem1		38166	23856	95250	70325	35690	22058	88592	67158	15937	9230	67741	52119	15466	8693	67261	51906
Size8_Problem2		47516	22584	97228	75643	41082	18615	96011	74218	21999	3747	72160	53964	21523	3577	71221	53388
Size8_Problem3		44316	11032	93169	67777	34909	3537	88864	73682	19984	0	70691	54220	20573	0	69943	52804
Size8_Problem4		45601	12317	100298	86851	41295	8406	97900	86699	23258	0	79531	66782	22828	0	80020	68376
Size8_Problem5		57140	19219	100892	80163	49501	16367	98741	77471	30243	1381	77022	62168	29981	1062	76740	62153
Size8_Problem6		56279	21645	102983	50852	42484	13634	100347	53028	25866	376	73501	27975	25202	5	72269	28324
Size8_Problem7		49089	6487	106563	69947	36516	2346	107014	71144	19123	0	81590	49099	19047	0	81504	50140
Size8_Problem8		41440	11392	108130	91604	33082	9421	94271	91577	17259	0	76224	73659	16273	0	76537	75169
Size8_Problem9		42025	5314	89155	65078	32148	2605	74757	53719	19170	0	62758	41851	19280	0	61220	43262
Size8_Problem10		35646	39607	89462	57879	29570	25862	88722	58358	12616	13413	68210	42365	12498	14146	67873	41650
Size9_Problem1		64955	54018	151547	143038	58046	52107	144635	141311	41709	26230	123234	125046	42587	26336	123552	122017
Size9_Problem2		72893	16918	124528	107937	62423	10378	129035	112212	39264	49	106975	93096	38277	118	106483	94555
Size9_Problem3		61602	27031	131311	123185	52270	20463	132856	116137	38206	5788	108877	105511	37966	4969	111569	103760
Size9_Problem4		62123	23799	130684	152001	59686	24821	121593	149827	35479	9040	107212	136092	34085	8955	107738	137336
Size9_Problem5		61313	29042	134760	110787	55411	26304	134619	107834	40798	10384	113640	95633	39593	9214	114318	92877
Size9_Problem6		68144	37171	129508	114327	61507	38352	130114	108873	37487	20635	107189	94010	37324	19651	106767	94436
Size9_Problem7		60408	40625	132579	129785	54014	44910	133033	133245	37072	19148	112937	117613	37009	17300	113660	119820
Size9_Problem8		68456	24345	149717	126828	56662	19080	143029	125265	40332	4437	119731	111570	40342	3711	119132	112170
Size9_Problem9		61155	21914	139169	115446	56912	18403	133539	116176	37591	2305	112329	101548	38366	2471	114061	100416
Size9_Problem10		49322	26566	129135	114378	50580	33777	123163	118175	26919	6956	107282	103991	27287	6731	106807	102998
Size10_Problem1		163441	39546	388424	244242	123879	8735	343489	252384	68965	0	274887	191982	70233	0	275724	192002
Size10_Problem2		190529	48197	372367	304903	149110	14484	334749	301310	94399	0	263381	232494	97304	0	275023	234278
Size10_Problem3		179348	58651	374938	316196	123916	20905	327866	311101	72981	195	254667	259702	76797	231	259494	257340
Size10_Problem4		177068	80241	385466	260314	137512	60064	352824	264208	65592	950	285006	216269	65592	3082	275285	213790
Size10_Problem5		204765	65021	386892	262520	160341	27269	359642	264698	106254	5	285911	202658	104934	0	289800	200984
Size10_Problem6		206228	80692	392581	301739	163334	31924	361063	291208	104084	71	272419	221094	99766	97	276672	226001
Size10_Problem7		176834	74006	423642	243455	128027	57826	374490	256059	74137	1859	314195	195579	76857	2489	307515	197027
Size10_Problem8		194370	75453	400181	243092	136841	36276	353895	255218	84369	15	298261	185677	79088	335	285900	185963
Size10_Problem9		198806	61185	397663	282924	135672	22960	358388	289978	88234	266	281601	241228	88234	224	293442	242057
Size10_Problem10	180623	58103	358858	380074	130375	18265	315367	383999	72297	0	252944	312917	80202	0	257585	308958
Size11_Problem1		235159	124173	478834	325619	200529	98788	428728	337703	135960	37682	390326	280998	135160	42544	380460	293302
Size11_Problem2		249362	140912	502203	364322	220071	119114	483468	371017	151399	59746	417114	325821	155443	59026	423042	320841
Size11_Problem3		259397	111385	445910	362038	213297	96166	428088	349113	170122	33042	367155	307230	170122	36002	369468	308606
Size11_Problem4		242979	87678	501370	380645	215145	73414	491992	383332	147672	16913	425135	344596	153871	15255	425137	334939
Size11_Problem5		218486	87424	427309	368456	189924	59291	415832	385037	145075	6904	331777	326626	143721	7205	336732	333229
Size11_Problem6		227207	101646	476868	531351	203607	81500	482040	518507	136888	22271	396965	473104	135468	20575	399903	472685
Size11_Problem7		226239	141144	481306	350656	200847	107660	467300	348711	131944	41408	397218	305540	132298	48523	391522	303995
Size11_Problem8		242536	128144	464158	337334	195826	107036	454256	334474	150599	45765	390758	279003	150098	46990	391858	287149
Size11_Problem9		264164	96634	479668	319750	225603	80183	439497	335026	160698	21124	386653	274171	171707	17805	386006	279148
Size11_Problem10	247697	78755	486624	436775	211584	71768	460762	442316	148076	10451	401355	382414	151753	6760	402874	385267
Size12_Problem1		1494597	720896	2778714	2061743	1278396	522155	2720080	2066213	1152216	349518	2445589	1961559	1163422	367460	2457279	1974069
Size12_Problem2		1451347	885423	2666048	1857541	1203293	635951	2486471	1945187	1078253	437310	2308313	1716395	1094362	457047	2330899	1734229
Size12_Problem3		1484931	533629	2807266	2053793	1201848	366150	2515875	2060647	1038209	199486	2401414	1854856	1063649	218899	2427425	1868687
Size12_Problem4		1447571	595426	2925926	2143003	1140024	432051	2613167	2171750	1014441	272492	2475886	1985816	1044467	293050	2495945	2005322
Size12_Problem5		1476397	597738	2845099	1964777	1145094	417788	2641697	1974258	1049492	263491	2432921	1753634	1084720	285300	2458140	1783203
Size12_Problem6		1421104	641097	2810035	1937243	1148430	370177	2595325	1946702	1026644	264582	2455696	1720116	1057334	295998	2458189	1719205
Size12_Problem7		1440555	626868	2804399	1929894	1149032	409796	2599853	1859445	1005124	258056	2451241	1722969	1004303	257248	2450513	1721061
Size12_Problem8		1483211	534558	2787941	1916027	1179814	288654	2470576	1957225	1030848	162496	2390383	1744937	1030274	160751	2387803	1766060
Size12_Problem9		1556111	794678	2798886	2177726	1256645	661945	2594114	2243835	1107601	417294	2407431	2062527	1142820	437401	2433188	2100536
Size12_Problem10	1418776	626141	2928662	2144515	1178288	410942	2681762	2118795	1025814	252689	2564877	1893139	1057684	280090	2600324	1916576
																	
